answer_id,participant_id,music_id,answer,original_answer,timestamp,favorite,translated_to_english,performer,piece_name,performance_name
1620,160,9,beautiful,beautiful,2018-09-17 15:13:19,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1652,161,9,peaceful,peaceful,2018-10-06 20:44:29,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1857,181,9,invisible,invisible,2019-10-14 08:05:34,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
1963,188,9,"good_performance, bad_sound",good performance bad sound,2020-03-01 15:14:32,1.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
2034,195,9,"expressive, dark ","Expresivo, oscuro. ",2020-03-31 18:12:57,0.0,"Expressive, dark. ",Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
2062,194,9,"old, present, appealing","old, present, appealing",2020-03-31 18:34:35,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
2090,192,9,"old_fashioned, with_a_dramatic_flavor ","old fashioned, with a dramatic flavor, ",2020-03-31 19:37:23,0.0,,Casadesus,beethoven,09_3_2_2_Beethoven_Casadesus_Cut2_01.38-03.03
72,4,10,"very_quiet, estranged","very quiet, estranged",2018-02-16 12:43:42,,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
95,7,10,delicate,delicate,2018-02-16 14:14:39,,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
131,10,10,"quiet, calm",quiet calm,2018-02-19 07:42:00,,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
166,16,10,strict,strict,2018-03-04 13:44:56,,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
238,36,10,"fast, melodious","fast,  melodious",2018-03-16 08:34:10,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
382,46,10,tender,нежная,2018-03-25 12:57:48,0.0,tender,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
413,47,10,"soft, tender","Soft, tender",2018-03-26 15:28:07,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
471,49,10,"light, flowing, singing, pleasant_tempo","leicht, fließend, singend, angenehmes Tempo",2018-03-29 19:58:04,1.0,"light, flowing, singing, pleasant_tempo",Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
520,50,10,unremarkable,unremarkable,2018-04-01 12:03:45,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
566,57,10,"dreamy, a_bit_arty_but_still_okay,","Dreamy,a bit arty but still okay.",2018-04-03 17:30:48,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
691,71,10,"fast, apathetically, withheld","fast, apathetically, withheld",2018-04-05 10:22:03,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
722,72,10,"calm, expressive, steady","calm, expressive, steady",2018-04-05 13:01:47,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
776,73,10,nicely_understated,nicely understated,2018-04-05 15:11:49,1.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
802,74,10,"soft, tender, delicate, even, sad","soft, tender, delicate, even, sad",2018-04-05 17:06:33,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
860,78,10,"pretty, accurate, not_much_dynamics","Pretty and accurate, not much dynamics",2018-04-08 12:11:09,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
907,86,10,"calm, sensuous","calm, sensuous",2018-04-10 13:38:21,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
940,89,10,"mellow, gentle","mellow, gentle",2018-04-13 19:25:59,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
996,100,10,melody_should_be_more_pronounced,But the melody should be more pronounced ,2018-04-19 09:28:16,1.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1079,106,10,"fast_and_soft, a_very_nice_atmosphere, but_remains_somewhat_distant",fast and soft; a very nice atmosphere; but remains somewhat distant.,2018-04-20 07:24:15,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1103,109,10,"very_regular, delicately_played, very_restrained, is_of_automatic_character, but_nevertheless_musically_interpreted","Sehr regelmässig, fein gespielt, sehr zurückhaltend, hat einen automatischen Charakter, aber trotzdem musikalisch interpretiert",2018-04-20 09:04:28,0.0,"very_regular, delicately_played, very_restrained, is_of_automatic_character, but_nevertheless_musically_interpreted",Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1176,121,10,"flowing, mobile, harmonious, introverted","fließend, beweglich, harmonisch, introvertiert",2018-04-23 17:31:18,0.0,"flowing, mobile, harmonious, introverted",Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1203,124,10,subtle,dezent,2018-04-25 10:06:19,0.0,subtle,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1226,130,10,"calm, with_a_hint_of_sadness, very_proud, a_bit_heavy, fighting_for_something_positive","calm, with a hint of sadness, very proud, a bit heavy as fighting for something positive",2018-05-02 18:19:47,1.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1281,131,10,"too_fast, bit_too_silent","Too fast, bit too silent",2018-05-02 22:30:48,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1403,146,10,"soft, professional","soft, professional",2018-07-06 12:59:56,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1580,157,10,"beautifully_intimate, eerie","beautifully intimistic, eerie",2018-08-29 14:43:31,1.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1594,159,10,nice,nett,2018-09-09 13:41:11,0.0,nice,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1621,160,10,"tender, emotional","tender, emotional",2018-09-17 15:13:20,1.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1653,161,10,crystal,crystal,2018-10-06 20:44:29,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1858,181,10,invisible,invisible,2019-10-14 08:05:34,1.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
1964,188,10,"soft, nice",soft and nice,2020-03-01 15:14:32,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
2035,195,10,"mysterious, expressive ","Misterioso, expresivo.  ",2020-03-31 18:12:57,1.0,"Mysterious, expressive.  ",Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
2063,194,10,"shy, pale, distant, cold","shy, pale, distant, cold",2020-03-31 18:34:35,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
2091,192,10,"sugar-coated, sophisticated, cool, calm, melodic","sugar-coated, sophisticated and cool, calm, melodic",2020-03-31 19:37:23,0.0,,Lazic,beethoven,10_3_3_2_Beethoven_Lazic_Cut2_01.36-02.57
70,4,11,soft,soft,2018-02-16 12:43:42,,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
92,7,11,dramatic,dramatic,2018-02-16 14:14:39,,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
135,10,11,energetic,energetic,2018-02-19 07:42:00,,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
167,16,11,furious,furious,2018-03-04 13:44:56,,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
239,36,11,stuttering,stuttering,2018-03-16 08:34:10,1.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
383,46,11,sincere,искренняя,2018-03-25 12:57:48,0.0,sincere,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
414,47,11,"loud, fast, soft, dynamic, dreamy","Loud, fast, soft, dynamic, dreamy",2018-03-26 15:28:07,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
472,49,11,"hard, chopped, firm","hart, abgehackt, fest",2018-03-29 19:58:04,0.0,"hard, chopped, firm",Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
521,50,11,desire,desire,2018-04-01 12:03:45,1.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
567,57,11,"too_much_reverb,",Too much reverb.,2018-04-03 17:30:48,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
692,71,11,"fast, emotional, erratic","fast, emotional, erratic",2018-04-05 10:22:03,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
723,72,11,"hasty, rushed, inappropriate","hasty, rushed, inappropriate",2018-04-05 13:01:47,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
777,73,11,aggressive,agressive,2018-04-05 15:11:49,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
803,74,11,"less_steady_rhythmically, dynamic,  expressive, interesting, complex","less steady rhythmically, dynamic (with respect to amplitude and rhythm), expressive, interesting, complex",2018-04-05 17:06:33,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
861,78,11,"too_fast, rushed, doesn’t_let_the_piece_breathe, daring, dynamic","Too fast - rushed, doesn’t let the piece breathe, but daring and dynamic ",2018-04-08 12:11:09,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
908,86,11,"hollywoodish, overt","hollywoodish, overt",2018-04-10 13:38:21,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
941,89,11,passionate,passionate,2018-04-13 19:25:59,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
997,100,11,"too_affected, not_continuous","Too affected, not continuous",2018-04-19 09:28:16,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1080,106,11,"excited_and_agitato, very_romantic, high_tempo_variability","excited and agitato, very romantic with high tempo variability",2018-04-20 07:24:15,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1104,109,11,"passionate, lively, very_musical, determined, appropriate_for_beethoven's_character","Leidenschaftlich, lebendig, sehr musikalisch, entschlossen, passt zu Beethovens Charakter",2018-04-20 09:04:28,1.0,"passionate, lively, very_musical, determined, appropriate_for_Beethoven's_character",Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1177,121,11,"restless, passionate, a_lot_of_rubato, varying_tempo","unruhig, leidenschaftlich, viel rubati, variierend im Tempo",2018-04-23 17:31:18,0.0,"restless, passionate, a_lot_of_rubato, varying_tempo",Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1204,124,11,"extensive, intensive","flächig, instensiv",2018-04-25 10:06:19,0.0,"extensive, intensive",Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1227,130,11,"romantic, a_bit_like_dancing, heavy_rubato, a_bit_lost_in_dreams,","romantic character, a bit like dancing because of the heavy rubato,  a bit lost in dreams.",2018-05-02 18:19:47,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1282,131,11,"changing, surprising","Changing, surpsrising",2018-05-02 22:30:48,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1404,146,11,"very_dynamic, unpredictable, bright","very dynamic, unpredictable, bright",2018-07-06 12:59:56,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1581,157,11,"sea-sick, no_pulse, misunderstanding_the_calm_resigned_nature_of_the_piece","Sea-sick, no pulse, misunderstanding the calm, resigned nature of the piece",2018-08-29 14:43:31,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1595,159,11,fast,schnell,2018-09-09 13:41:11,0.0,fast,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1622,160,11,a_bit_too_much,a bit too much?,2018-09-17 15:13:20,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1654,161,11,comfortable,comfortable,2018-10-06 20:44:29,1.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1859,181,11,too_fast,too fast,2019-10-14 08:05:34,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
1965,188,11,"aggressive, nice",agressive but nice,2020-03-01 15:14:32,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
2036,195,11,"brilliant, fast, virtuoso ","Brillante, rápida, virtuoso. ",2020-03-31 18:12:57,0.0,"Brilliant, fast, virtuoso. ",Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
2064,194,11,"messy, unpredictable, chaotic","messy, unpredictable, chaotic",2020-03-31 18:34:35,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
2092,192,11,"a_bit_self-important, a_little_rushed, unnecessarily_exaggerated","a bit self-important, a little rushed, unnecessarily exaggerated",2020-03-31 19:37:23,0.0,,Lim,beethoven,11_3_4_2_Beethoven_Lim_Cut2_01.21-02.29
73,4,12,"heavy, slow, non_legato,  emphasis","heavy, slow, non legato, with emphasis",2018-02-16 12:43:42,,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
90,7,12,"brooding, pensive","brooding, pensive",2018-02-16 14:14:39,,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
132,10,12,babbling,babbling,2018-02-19 07:42:00,,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
165,16,12,tragic,tragic,2018-03-04 13:44:56,,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
236,36,12,hesitant,hesitant,2018-03-16 08:34:10,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
384,46,12,confession,исповедальная,2018-03-25 12:57:48,0.0,confession,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
415,47,12,"dynamic, tender, passionate, soft, moving, delicate","Dynamic, tender, passionate, soft, moving, delicate",2018-03-26 15:28:07,1.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
473,49,12,"slow, hard, firm","langsam, hart, fest",2018-03-29 19:58:04,0.0,"slow, hard, firm",Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
522,50,12,"melancholy, subtle","melancholy, subtle",2018-04-01 12:03:45,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
568,57,12,"decent, modest, with_gravitas, not_too_overwhelming, finds_balance_between_expressivity_and_showmanship","Decent, modest, with gravitas but not too overwhelming. Finds balance between expressivity and showmanship",2018-04-03 17:30:48,1.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
693,71,12,"dramatic, sostenuto","dramatic, sostenuto",2018-04-05 10:22:03,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
724,72,12,"dramatizing, ponderous","dramatizing, ponderous",2018-04-05 13:01:47,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
778,73,12,agonizing,agonizing,2018-04-05 15:11:49,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
804,74,12,"slow, intentional, dynamic, even_rhythmically_sad, emotive","slow, intentional, dynamic, even rhythmically, sad, emotive",2018-04-05 17:06:33,1.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
862,78,12,"dynamic, not_daring",Dynamic but undaring ,2018-04-08 12:11:09,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
909,86,12,"soaring, breathing","soaring, breathing",2018-04-10 13:38:21,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
942,89,12,"slower, breathy, melodic","slower, breathy, melodic",2018-04-13 19:25:59,1.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
998,100,12,"too_slow, not_phrased, beginner","Too slow, also not phrased beginner",2018-04-19 09:28:16,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1081,106,12,"a_male_interpretation, but_still_poetic, sounds_a_bit_like_gulda","a male interpretation, but still poetic; sounds a bit like Gulda; ",2018-04-20 07:24:15,1.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1105,109,12,"a_somewhat_detuned_piano, restrained, very_musical","Ein etwas verstimmtes Klavier, zurückhaltend, sehr musikalisch",2018-04-20 09:04:28,0.0,"a_somewhat_detuned_piano, restrained, very_musical",Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1178,121,12,"marked, tense, sparse, strong","markiert, angespannt, karg, kräftig",2018-04-23 17:31:18,0.0,"marked, tense, sparse, strong",Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1205,124,12,"clear, strong","klar, kräftig",2018-04-25 10:06:19,0.0,"clear, strong",Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1228,130,12,"wants_to_be_expressive, not_expressive, it_is_making_the_character_only_with_dynamics","wants to be expressive, but it is not, it is making the character only with dynamics.",2018-05-02 18:19:47,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1283,131,12,"too_heavy, not_fitting_tempo","To heavy, not fitting tempo,",2018-05-02 22:30:48,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1316,137,12,expressive,expressive,2018-05-24 09:33:03,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1405,146,12,"graceful, mellow, expressive, dynamic","graceful, mellow, expressive, dynamic",2018-07-06 12:59:56,1.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1596,159,12,hard,hart,2018-09-09 13:41:11,0.0,hard,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1623,160,12,"heartfelt, heavy","heartfelt, heavy",2018-09-17 15:13:20,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1655,161,12,assured,assured,2018-10-06 20:44:29,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
1860,181,12,too_slow,too slow,2019-10-14 08:05:34,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
2037,195,12,"slow, without_feeling, militaristic, boring ","Lento, sin sentimiento, militar, aburrido. ",2020-03-31 18:12:57,0.0,"Slow, without feeling, militaristic, boring. ",Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
2065,194,12,"dynamic, clean, sharp, moderate","dynamic, clean, sharp, moderate",2020-03-31 18:34:35,1.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
2093,192,12,"melancholic, gloomy",melancholic and gloomy ,2020-03-31 19:37:23,0.0,,Gulda,beethoven,12_3_5_2_Beethoven_Gulda_Cut2_02.03-03.45
68,4,13,"fast, impatient, anxious","fast, impatient, anxious",2018-02-16 12:43:42,,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
93,7,13,"desperate, distraught","desperate, distraught",2018-02-16 14:14:39,,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
133,10,13,flowing,flowing,2018-02-19 07:42:00,,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
168,16,13,passionate,passionate,2018-03-04 13:44:56,,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
240,36,13,"reverberant, ominous","reverberant, ominous",2018-03-16 08:34:10,0.0,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
385,46,13,verbal,говорящая,2018-03-25 12:57:48,0.0,verbal,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
416,47,13,"fast, loud, soaring ","Fast, loud, soaring ",2018-03-26 15:28:07,0.0,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
474,49,13,"rattling, hard, unfeeling","scheppernd, hart, gefühllos",2018-03-29 19:58:04,0.0,"rattling, hard, unfeeling",Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
523,50,13,floating,floating,2018-04-01 12:03:45,0.0,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
569,57,13,"too_romantic,",Too romantic.,2018-04-03 17:30:48,0.0,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
694,71,13,"Light-handed, dramatic, floating","light-handed, dramatic, floating",2018-04-05 10:22:03,1.0,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
725,72,13,"blurry, mushy, indistinct","blurry, mushy, indistinct",2018-04-05 13:01:47,0.0,,Schiff,beethoven,13_3_6_2_Beethoven_Schiff_Cut2_01.24-02.36
